record_id,source,prompt,word_count,character_count,formatting_flags,duplicate_flags,near_duplicate_flags,review_status,review_notes
D_0000,Alpaca,"Edit this sentence so that it contains only one verb tense.
He had been walking for miles when he suddenly encountered a bear.",23,126,,,not_checked,pending,
D_0001,Alpaca,Grapple with the concept of friendship,6,38,,,not_checked,pending,
D_0002,Dolly-15k,Classify each of the following as a primary color or a secondary color,13,70,,,not_checked,pending,
D_0003,Alpaca,Write a message to the customer apologizing for the delay in responding.,12,72,,,not_checked,pending,
D_0004,Alpaca,Discuss the efforts of the United Nations to advance world peace.,11,65,,,not_checked,pending,
D_0005,Dolly-15k,"Tell me which of these foods is spicy: jalapeño, apple, five-alarm chili, marshmallow, tabasco, wasabi",15,102,,,not_checked,pending,
D_0006,Alpaca,Describe the behavior of a person who is on the autism spectrum,12,63,,,not_checked,pending,
D_0007,Alpaca,Why are planets round?,4,22,,,not_checked,pending,
D_0008,Alpaca,Write a short paragraph that uses hyperbole.,7,44,,,not_checked,pending,
D_0009,OASST1,"The Mock Turtle sighed deoply, and drew the back of one flaper across hi's eyes. He looked at alice. and triecl to Speakc but for a minute or two sobs choked his voice.

Correct the above text. Laconic mode: no commentary.",41,222,,,not_checked,pending,
D_0010,Dolly-15k,Which is a species of fish? Opah or Oprah,9,41,,,not_checked,pending,
D_0011,Dolly-15k,"Identify which car manufacturer is German or American: Mercedes-Benz, Chevrolet",10,79,,,not_checked,pending,
D_0012,Dolly-15k,"Identify which car manufacturer is Italian or American: Lancia, Tesla",10,69,,,not_checked,pending,
D_0013,Alpaca,Generate a list of three ingredients for a chocolate cake.,10,58,,,not_checked,pending,
D_0014,Dolly-15k,How are weather forecasts created?,5,34,,,not_checked,pending,
D_0015,Dolly-15k,How do you make a simple green salsa?,8,37,,,not_checked,pending,
D_0016,Alpaca,Name a technology which has been used for over 100 years.,11,57,,,not_checked,pending,
D_0017,OASST1,"What's an inexpensive type of food I can bring to work everyday? Ideally I would want something that's somewhat healthy and not too messy or time consuming to prepare or eat. Bonus points if I can easily replace some of the ingredients, so that I can have some variety between days.",51,282,,,not_checked,pending,
D_0018,Alpaca,Identify a person who made an impact in the development of quantum mechanics,13,76,,,not_checked,pending,
D_0019,OASST1,"I'm interested in the nature of consciousness. Are you familiar with the works of Donald Hoffman, Giulio Tononi, and Daniel Dennett? What do you think of Integrated Information Theory? How does it compare to Hoffman's Interface theory of consciousness? Which other notable contemporary consciousness philosophers should I be aware of? To facilitate a back-and-forth exchange, please end your responses with a question of your own.",65,430,,,not_checked,pending,
D_0020,Dolly-15k,Why people love youtube as a search option rather then Google?,11,62,,,not_checked,pending,
D_0021,Dolly-15k,What are the key steps for building a an in ground pool?,12,56,,,not_checked,pending,
D_0022,Dolly-15k,Do i must to hug my wife,7,24,,,not_checked,pending,
D_0023,OASST1,"Can you tell me a whodunnit mystery set in an old manor. I want a story with four suspects, and for each suspect I need to know the motive and the alibi. In addition I would like to know also how the detective was able to exclude each suspect and identify the killer",53,266,,,not_checked,pending,
D_0024,Alpaca,What is the difference between a web server and an application server?,12,70,,,not_checked,pending,
D_0025,Dolly-15k,How many F1 races are there in a year?,9,38,,,not_checked,pending,
D_0026,OASST1,"Make a list of ingredients for a statically generated site using deno and typescript. Use the latest code conventions, but make naming decisions that are frustrating for senior developers to review",31,197,,,not_checked,pending,
D_0027,Alpaca,Find me a website where I can purchase acoustic guitars.,10,56,,,not_checked,pending,
D_0028,OASST1,Create login form with reactjs,5,30,,,not_checked,pending,
D_0029,OASST1,Explain me how to use virtual environment on mac.,9,49,,,not_checked,pending,
D_0030,Dolly-15k,Who won the best new artist as well as award for the Best Pop Vocal Album in 64th Annual Grammy Awards,21,102,,,not_checked,pending,
D_0031,Dolly-15k,Should high school students be allowed to drink coffee?,9,55,,,not_checked,pending,
D_0032,Alpaca,Give an example of a liquid that boils at a temperature higher than 100 °C.,15,75,,,not_checked,pending,
D_0033,Alpaca,Compose haiku with 3 lines with 5-7-5 syllable counts.,9,54,,,not_checked,pending,
D_0034,Dolly-15k,How is Delta Lake related to Apache Spark?,8,42,,,not_checked,pending,
D_0035,OASST1,Which books could I read to dive into the topic of Psychoanalysis?,12,66,,,not_checked,pending,
